No.,Equipment Item Number,Description,Location,Model Number,Serial Number,Tag Number,Manufacturer Name,Area,Area Number,Date Placed in Service,Removed from Service ,Supplier,Warranty Date ,Days until Expiration,Last Reading,Reading Measurement,Notes
1,134662,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c29953e18f9,West Delta Middle School,,NXEF2AA0055080800D7600,,ACER,,CBC- E-5,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
2,134877,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299541b7e3,West Delta Middle School,,NXEF2AA005509049557600,,ACER,,SD-1,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
3,134886,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299541b7ed,West Delta Middle School,,NXEF2AA005509049607600,,ACER,,SD-10,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
4,134887,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299541d485,West Delta Middle School,,NXEF2AA005509049857600,,ACER,,SD-11,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
5,134605,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299541d5de,West Delta Middle School,,NXEF2AA005509049677600,,ACER,,CBC- A8,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
6,134890,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299541d5f2,West Delta Middle School,,NXEF2AA005509049847600,,ACER,,SD-14,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
7,134624,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299544f953,West Delta Middle School,,NXEF2AA005508080317600,,ACER,,CBC- B12,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
8,134832,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299545ce0a,West Delta Middle School,,NXEF2AA00550807EE07600,,ACER,,CBC-H-10,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
9,134601,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299545da44,West Delta Middle School,,NXEF2AA005509049587600,,ACER,,CBC- A4,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
10,134818,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299545da62,West Delta Middle School,,NXEF2AA005508080197600,,ACER,,CBC-G-11,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
11,134621,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299546060e,West Delta Middle School,,NXEF2AA0055090495C7600,,ACER,,CBC- B9,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
12,134607,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c2995461aea,West Delta Middle School,,NXEF2AA005509049617600,,ACER,,CBC- A10,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
13,134613,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c2995462d23,West Delta Middle School,,NXEF2AA00550807F667600,,ACER,,CBC- B2,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
14,134797,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c2995464871,West Delta Middle School,,NXEF2AA0055090495B7600,,ACER,,CBC-F-5,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
15,134655,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c2995465a50,West Delta Middle School,,NXEF2AA00550807EFF7600,,ACER,,CBC- D-13,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
16,134598,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299546a1a4,West Delta Middle School,,NXEF2AA0055090493A7600,,ACER,,CBC- A1,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
17,134651,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299546a3b6,West Delta Middle School,,NXEF2AA005509049407600,,ACER,,CBC- D-9,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
18,134622,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299546a6db,West Delta Middle School,,NXEF2AA0055080809B7600,,ACER,,CBC- B10,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
19,134671,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299546a6f9,West Delta Middle School,,NXEF2AA005508080947600,,ACER,,CBC- E-14,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
20,134799,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299546ac6c,West Delta Middle School,,NXEF2AA005508081ED7600,,ACER,,CBC-F-7,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
21,134794,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299546ce6d,West Delta Middle School,,NXEF2AA005508080967600,,ACER,,CBC-F-2,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
22,134660,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299546e7e0,West Delta Middle School,,NXEF2AA005509049757600,,ACER,,CBC- E-3,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
23,134828,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c2995507dfa,West Delta Middle School,,NXEF2AA00551225B647600,,ACER,,CBC-H-6,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
24,134837,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299550cc24,West Delta Middle School,,NXEF2AA00551225B337600,,ACER,,CBC-H-15,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
25,134603,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299550e0a6,West Delta Middle School,,NXEF2AA005512259BF7600,,ACER,,CBC- A6,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
26,134608,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c29955128b3,West Delta Middle School,,NXEF2AA005512259BE7600,,ACER,,CBC- A11,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
27,134796,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c2995515004,West Delta Middle School,,NXEF2AA00551305F9C7600,,ACER,,CBC-F-4,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
28,134658,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c299551600d,West Delta Middle School,,NXEF2AA00551305FC97600,,ACER,,CBC- E-1,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
29,134643,Acer Chromebook 3205U-1.5GHz 4GB 16GB-SSD MAC 6c29955178e0,West Delta Middle School,,NXEF2AA00551305E307600,,ACER,,CBC- D-1,,,Microserve,22-06-2016,"-1,678",,,CHROMEBOOK CART
